"years",""
1900,0.517014293034094
1901,-0.00120928118001837
1902,0.0576150057180494
1903,0.542876287576559
1904,-0.614190425916431
1905,-0.156739469011846
1906,-0.177882464445547
1907,-0.626247350851268
1908,-0.142688517605366
1909,-0.726713110126775
1910,-0.934762762425993
1911,-0.413008858621467
1912,-0.541676976100193
1913,-0.417820234203047
1914,0.017096149207799
1915,0.344918895355605
1916,0.014024945205811
1917,0.046170842169363
1918,-0.126431267471598
1919,-0.39248453854217
1920,0.49295543140175
1921,-0.0781808770573953
1922,-0.55955991555443
1923,-0.673819608715233
1924,-0.350950287207283
1925,-0.614071358468745
1926,0.266967245310379
1927,-0.83325200365102
1928,-0.114351225867101
1929,-1.16637929929469
1930,-0.308342242130763
1931,-0.399212417990665
1932,-0.62797371742742
1933,-0.356047301918427
1934,-0.685304020308753
1935,-0.918892364391512
1936,-0.443405558950352
1937,-0.356805819610296
1938,-0.936143314488285
1939,-0.461371324678634
1940,0.172631870329912
1941,0.0551596335800837
1942,-0.183919577174329
1943,-0.565102476160476
1944,-0.0119626436181608
1945,-0.213555493727439
1946,0.324778529550802
1947,0.103819046543075
1948,0.217927218824405
1949,-0.652876846918258
1950,-0.331490657420348
1951,-0.416675072841208
1952,-0.212911769840396
1953,-0.315561979954336
1954,-0.0128871583985164
1955,-0.137231065246595
1956,0.00519073775052846
1957,0.0670495577252719
1958,-0.92041254476959
1959,-0.39777007380659
1960,0.269925632791501
1961,-0.639779469749815
1962,-0.626940560467547
1963,-1.0466208606865
1964,-0.652802446911699
1965,-0.328885154068114
1966,-0.459602105117931
1967,-0.923690827809046
1968,-0.507344241636494
1969,-0.443170318220465
1970,0.0196012579576712
1971,0.0409132388316721
1972,0.197120087724677
1973,0.214656701169098
1974,-0.0624745557769239
1975,-0.576652610548011
1976,0.157220022398629
1977,0.337298094255569
1978,0.160531223963776
1979,0.957862035941406
1980,1.28874997151045
1981,1.6744747193039
1982,0.755441215295405
1983,0.937451240903131
1984,0.943293622467374
1985,0.830454508521744
1986,1.594310482583
1987,0.676995332136408
1988,1.26854356364363
1989,0.35173432355286
1990,1.20534253357145
1991,1.51676815358738
1992,1.24093013430564
1993,0.343505247729209
1994,0.839066269188463
1995,0.695597137481712
1996,1.30378729701316
1997,0.799314441365721
1998,0.920633022547568
1999,0.400881564227047
2000,1.12465395286286
2001,1.24423849064451
2002,1.51864069267936
2003,1.40874457302198
2004,1.28584579770059
2005,1.59673332689005
2006,1.71268486470577
2007,1.71867438655537
2008,1.09108130165036
2009,1.64230257124364
2010,1.0738661217872
